,Unnamed: 0,companyName,country,prefix,streetAddress1,streetAddress2
171,171,"HUAWEI TECHNOLOGIES CO.,LTD",CN,60:e7:01,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
172,172,Hewlett Packard,US,00:08:83,MAIL STOP 42LE,CUPERTINO  CA  95014
173,173,Hewlett Packard,US,c4:34:6b,11445 Compaq Center Drive,Houston    77070
174,174,Hewlett Packard,US,8c:dc:d4,11445 Compaq Center Drive,Houston    77070
175,175,Hewlett Packard,US,34:64:a9,11445 Compaq Center Drive,Houston    77070
176,176,Hewlett Packard,US,d4:c9:ef,11445 Compaq Center Drive,Houston    77070
177,177,Hewlett Packard,US,a4:5d:36,11445 Compaq Center Drive,Houston    77070
178,178,Hewlett Packard,US,a0:d3:c1,11445 Compaq Center Drive,Houston    77070
179,179,Hewlett Packard,US,40:a8:f0,11445 Compaq Center Drive,Houston    77070
180,180,Hewlett Packard,US,6c:3b:e5,11445 Compaq Center Drive,Houston    77070
181,181,Hewlett Packard,US,08:2e:5f,11445 Compaq Center Drive,Houston    77070
182,182,Hewlett Packard,US,28:92:4a,11445 Compaq Center Drive,Houston    77070
183,183,Hewlett Packard,US,10:60:4b,11445 Compaq Center Drive,Houston    77070
184,184,Hewlett Packard,US,30:8d:99,11445 Compaq Center Drive,Houston    77070
185,185,Hewlett Packard,US,00:30:c1,11000 WOLFE ROAD,CUPERTINO  CA  95014
186,186,Hewlett Packard,US,fc:3f:db,11445 Compaq Center Drive,Houston  TX  77070
187,187,Rain Bird Corporation,US,4c:a1:61,970 West Sierra Madre Ave.,AZUSA  CA  91702
188,188,HTC Corporation,TW,7c:61:93,"No. 23, Xinghua Rd., ",Taoyuan County    330
189,189,"Cisco-Linksys, LLC",US,00:12:17,121 Theory Dr.,Irvine  CA  92612
190,190,"Cisco-Linksys, LLC",US,00:0c:41,121 Theory Dr.,Irvine  CA  92612
191,191,"Cisco-Linksys, LLC",US,00:0f:66,121 Theory Dr.,Irvine  CA  92612
192,192,Cisco SPVTG,US,44:e0:8e,5030 Sugarloaf Parkway,Lawrenceville  GA  30044
193,193,Cisco SPVTG,US,18:59:33,5030 Sugarloaf Parkway,Lawrenceville  GA  30044
194,194,Cisco SPVTG,US,e4:48:c7,5030 Sugarloaf Pkwy,Lawrenceville  GA  30044
195,195,Cisco SPVTG,US,24:76:7d,5030 Sugarloaf Pkwy,Lawrenceville  GA  30044
196,196,Cisco SPVTG,US,2c:ab:a4,5030 Sugarloaf Parkway,Lawrenceville  GA  30044
197,197,"ALPS ELECTRIC CO.,LTD.",JP,00:02:c7,"1-2-1, Okinouchi, Sama-City,",Sama    00000
198,198,"ALPS ELECTRIC CO.,LTD.",JP,04:76:6e,"6-3-36 Furukawanakazato,",Osaki  Miyagi-pref  989-6181
199,199,"Shanghai Feixun Communication Co.,Ltd.",CN,00:6b:8e,"Building 90,No,4855,Guangfulin Road",shanghai  Shanghai  201616
200,200,"HUAWEI TECHNOLOGIES CO.,LTD",CN,ac:85:3d,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",Shenzhen  Guangdong  518129
201,201,"HUAWEI TECHNOLOGIES CO.,LTD",CN,74:88:2a,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
202,202,"HUAWEI TECHNOLOGIES CO.,LTD",CN,78:d7:52,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
203,203,"HUAWEI TECHNOLOGIES CO.,LTD",CN,e0:24:7f,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
204,204,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00:46:4b,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
205,205,"HUAWEI TECHNOLOGIES CO.,LTD",CN,70:7b:e8,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
206,206,"HUAWEI TECHNOLOGIES CO.,LTD",CN,54:89:98,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
207,207,"HUAWEI TECHNOLOGIES CO.,LTD",CN,08:19:a6,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
208,208,"HUAWEI TECHNOLOGIES CO.,LTD",CN,3c:f8:08,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
209,209,"HUAWEI TECHNOLOGIES CO.,LTD",CN,b4:15:13,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
210,210,"HUAWEI TECHNOLOGIES CO.,LTD",CN,28:31:52,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
211,211,"HUAWEI TECHNOLOGIES CO.,LTD",CN,dc:d2:fc,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
212,212,Comark Interactive Solutions,US,00:03:dd,93 West St.,Medfield  MA  02052
213,213,"Cisco Systems, Inc",US,00:10:7b,170 W.TASMAN DR.-SJA-2,SAN JOSE  CA  95134-1706
214,214,"Cisco Systems, Inc",US,00:90:6d,80 West Tasman Drive,San Jose  CA  94568
215,215,"Cisco Systems, Inc",US,00:90:bf,80 West Tasman Drive,San Jose  CA  94568
216,216,"Cisco Systems, Inc",US,00:50:80,170 W. TASMAN DR.,SAN JOSE  CA  95134-1706
217,217,ASUSTek COMPUTER INC.,TW,00:e0:18,150 LI-TE RD.,"PEITOU, TAIPEI    77777"
218,218,ASUSTek COMPUTER INC.,TW,00:0c:6e,"150, Li-Te Rd., PeiTou",Taipei    112
219,219,ASUSTek COMPUTER INC.,TW,00:1b:fc,"15,Li-Te Rd.,Peitou",Taipei    112
